 TIME                    	wind_r                   	ch_control               	tower_control            
 HOURS              	Unit1               	Unit2               	Unit3               
8073.333333	34.39443259	0.478292588	0.28971062
8073.416667	34.33287512	0.478162122	0.289603105
8073.5	34.26494449	0.478029092	0.289486136
8073.583333	34.19874473	0.477893014	0.289364984
8073.666667	34.13468855	0.477754442	0.289244424
8073.75	34.07358341	0.477613616	0.289135298
8073.833333	34.02296966	0.477470888	0.289046055
8073.916667	33.97595738	0.477326604	0.288986237
8074	33.92851565	0.477181682	0.28896461
8074.083333	33.88728686	0.477037641	0.288993882
8074.166667	33.85191083	0.476893371	0.289102527
8074.25	33.82052779	0.476749471	0.289277823
8074.333333	33.79319116	0.476606193	0.289527969
8074.416667	33.76987843	0.476320818	0.2898592
8074.5	33.74040588	0.475753305	0.301786994
8074.583333	33.70518169	0.475603165	0.301728313
8074.666667	33.67145101	0.475308163	0.30198117
8074.75	33.64535882	0.47501583	0.305438653
8074.833333	33.61993916	0.474726966	0.317728872
8074.916667	33.59086883	0.474574238	0.317772647
8075	33.56474793	0.474275636	0.318131731
8075.083333	33.53926356	0.473683616	0.331191869
8075.166667	33.51655002	0.473531068	0.331296283
8075.25	33.49860863	0.473079859	0.338138541
8075.333333	33.4619824	0.472621117	0.338553428
8075.416667	33.4054317	0.472300044	0.338437411
8075.5	33.34457496	0.471969085	0.338206678
8075.583333	33.28512997	0.471796526	0.337870541
8075.666667	33.23123411	0.471451374	0.337516498
8075.75	33.189127	0.470743025	0.324068859
8075.833333	33.17009409	0.470570265	0.324008273
8075.916667	33.16004951	0.470394665	0.323704531
8076	33.14474269	0.470217277	0.323349956
8076.083333	33.13424824	0.46986049	0.311499442
8076.166667	33.12806384	0.46968768	0.31149326
8076.25	33.12415522	0.469514011	0.311293013
8076.333333	33.11957289	0.469339021	0.311063374
8076.416667	33.11137103	0.469163278	0.310802097
8076.5	33.10049375	0.468986493	0.310518357
8076.583333	33.08792959	0.468808794	0.310214405
8076.666667	33.07470889	0.468630204	0.309895625
8076.75	33.07174609	0.468093773	0.29948354
8076.833333	33.07721516	0.467923088	0.299629841
8076.916667	33.08314143	0.467750398	0.299544135
8077	33.08638372	0.467577291	0.299461821
8077.083333	33.08677611	0.467404335	0.299370447
8077.166667	33.08532977	0.46723116	0.299279222
8077.25	33.08268788	0.467057928	0.299188476
8077.333333	33.07959722	0.466884625	0.299103663
8077.416667	33.07660717	0.466711376	0.299027385
8077.5	33.07414995	0.466538262	0.298963435
8077.583333	33.07250164	0.466365397	0.298914812
8077.666667	33.07184452	0.466192885	0.298884709
8077.75	33.07228018	0.466020836	0.298875916
8077.833333	33.07385574	0.465849354	0.298891036
8077.916667	33.07657274	0.465678538	0.298932481
8078	33.08040534	0.465508479	0.299002387
8078.083333	33.08530664	0.465339264	0.299102623
8078.166667	33.09121333	0.46517097	0.299234899
8078.25	33.09805468	0.465003667	0.299399829
8078.333333	33.10572331	0.4648374	0.299597175
8078.416667	33.11406068	0.464672191	0.299826694
8078.5	33.12290214	0.464508054	0.300087534
8078.583333	33.13208702	0.464344981	0.300378543
8078.666667	33.14145745	0.464182957	0.300698214
8078.75	33.15086453	0.464021949	0.311227077
8078.833333	33.15082325	0.463856811	0.311214292
8078.916667	33.14308009	0.463691495	0.31135521
8079	33.13620075	0.463526328	0.311526541
8079.083333	33.13252142	0.463361635	0.311723385
8079.166667	33.13208616	0.463197521	0.311943916
8079.25	33.13417672	0.463034069	0.312186088
8079.333333	33.13802697	0.462871302	0.312447447
8079.416667	33.14295473	0.462709207	0.312724373
8079.5	33.14837194	0.462547721	0.313012855
8079.583333	33.15378336	0.462386757	0.313308344
8079.666667	33.15878385	0.4622262	0.313605862
8079.75	33.16304014	0.462065915	0.313900157
8079.833333	33.16628178	0.461905752	0.314185816
8079.916667	33.16829437	0.461745549	0.314457178
8080	33.1689065	0.461585133	0.314708579
8080.083333	33.16798519	0.461424326	0.314934393
8080.166667	33.16543502	0.461262949	0.315128915
8080.25	33.1611871	0.461100818	0.315289078
8080.333333	33.1552922	0.460937802	0.315410063
8080.416667	33.14495846	0.460772177	0.315485273
8080.5	33.13123448	0.460605261	0.315490857
8080.583333	33.11607713	0.460436483	0.315435225
8080.666667	33.09926217	0.460265684	0.31530986
8080.75	33.0726744	0.460092676	0.315109062
8080.833333	33.04195612	0.45974412	0.31482847
8080.916667	33.01989836	0.459209646	0.304135276
8081	33.01348492	0.459035244	0.304043317
8081.083333	33.01521874	0.458860132	0.303772597
8081.166667	33.01032515	0.4585043	0.30341851
8081.25	33.00503071	0.457608225	0.289909089
8081.333333	33.01105004	0.457437468	0.290009731
8081.416667	33.01848051	0.457262678	0.289752301
8081.5	33.01737076	0.457085795	0.289414823
8081.583333	33.01661298	0.456374443	0.277833603
8081.666667	33.0225906	0.456204006	0.277861623
8081.75	33.03130413	0.456031862	0.277630857
8081.833333	33.03154312	0.455681444	0.277323767
8081.916667	33.03061136	0.454799115	0.265176834
8082	33.04265614	0.454633477	0.265380952
8082.083333	33.05459789	0.454462631	0.265214389
8082.166667	33.05545752	0.454117969	0.264948695
8082.25	33.05616643	0.453422467	0.254655554
8082.333333	33.06300401	0.453256288	0.254812426
8082.416667	33.07045601	0.453087412	0.254664613
8082.5	33.07081852	0.452745729	0.254424663
8082.583333	33.07065395	0.451884194	0.244738909
8082.666667	33.08010906	0.451721012	0.24498682
8082.75	33.08991204	0.451553796	0.244854249
8082.833333	33.09021923	0.451215872	0.244636274
8082.916667	33.08960765	0.45036349	0.235737198
8083	33.09850072	0.45020199	0.23600657
8083.083333	33.10789186	0.450036483	0.235896395
8083.166667	33.10789728	0.449701941	0.235699506
8083.25	33.10658538	0.448857825	0.22742134
8083.333333	33.11491719	0.448697808	0.227708433
8083.416667	33.12407269	0.448533821	0.227614085
8083.5	33.11435072	0.448202164	0.227428483
8083.583333	33.13955838	0.447192736	0.219411426
8083.666667	33.20212717	0.445956372	0.23035849
8083.75	33.24341957	0.444898764	0.240749271
8083.833333	33.28053571	0.444443942	0.240868733
8083.916667	33.30035298	0.44315182	0.260548178
8084	33.32021952	0.442701689	0.260430989
8084.083333	33.33917993	0.441433	0.280719106
8084.166667	33.34921073	0.44071242	0.292718006
8084.25	33.35084169	0.439868205	0.30712008
8084.333333	33.34032791	0.439720011	0.307219533
8084.416667	33.3122056	0.439142077	0.318074863
8084.5	33.26421825	0.438679019	0.31776247
8084.583333	33.20515137	0.43819724	0.317312245
8084.666667	33.15121866	0.43736498	0.30241533
8084.75	33.12875482	0.436704363	0.290781111
8084.833333	33.13375019	0.436379919	0.29068096
8084.916667	33.13877065	0.435718348	0.278197307
8085	33.14351792	0.435395194	0.278093717
8085.083333	33.14901309	0.434571912	0.26542443
8085.166667	33.15901937	0.434254362	0.265428959
8085.25	33.16958671	0.433441696	0.254399766
8085.333333	33.17916286	0.433126526	0.254436827
8085.416667	33.17965982	0.432483846	0.244518629
8085.5	33.18629444	0.432170048	0.244547028
8085.583333	33.19981614	0.431532481	0.2356406
8085.666667	33.21193902	0.431379456	0.235697477
8085.75	33.20675708	0.431064499	0.235397734
8085.833333	33.21980346	0.429931616	0.221930872
8085.916667	33.24802594	0.429789298	0.222408247
8086	33.25413528	0.42948525	0.222258585
8086.083333	33.29074955	0.428237003	0.213881896
8086.166667	33.35103322	0.427245678	0.223806245
8086.25	33.3899816	0.426549075	0.231880826
8086.333333	33.42655703	0.426133086	0.23203018
8086.416667	33.44042436	0.42494554	0.249464598
8086.5	33.44507686	0.424525863	0.249202237
8086.583333	33.45940117	0.423341397	0.264503081
8086.666667	33.49149817	0.422936414	0.264572888
8086.75	33.51588361	0.421800958	0.285020867
8086.833333	33.52841825	0.421151171	0.296101786
8086.916667	33.51108737	0.4202568	0.309126356
8087	33.44705906	0.419843074	0.308794567
8087.083333	33.36668129	0.419106543	0.297657682
8087.166667	33.32942938	0.418184625	0.281281741
8087.25	33.33033314	0.417584669	0.270341018
