 TIME                    	Wet                      	T_tower                  	T_ch                     	flow_ch                  	T_To_tower               	T_ch_r                   	T_sf                     	Td                       	Q_IT                     	PUE                      
 HOURS              	Unit1               	Unit2               	Unit3               	Unit4               	Unit5               	Unit6               	Unit7               	Unit8               	Unit9               	Unit10              
8021.916667	-7.173259658	7.501419913	11.85340306	45000	12.23679005	14.88011793	19.42363269	15.76299042	431947.2536	1.10790192
8022	-7.186605668	7.431747615	11.84069885	45000	12.23057033	14.87988134	19.42719615	15.77574926	431999.9901	1.107871254
8022.083333	-7.184751081	7.36349741	11.84072435	45000	12.29145399	14.87241687	19.42408695	15.7905357	431950.1051	1.107256311
8022.166667	-7.166732809	7.292011884	11.87917145	45000	12.39646087	14.90249053	19.44769784	15.76860098	431797.8357	1.106666613
8022.25	-7.14717396	7.321626933	11.92844748	45000	12.45214657	14.94980074	19.48733898	15.74165884	431543.9039	1.106684888
8022.333333	-7.126370164	7.446849059	12.03936153	45000	12.56233143	15.06181134	19.58387604	15.69647725	431189.511	1.106764017
8022.416667	-7.104649448	7.567341743	12.15161824	45000	12.67326425	15.1695331	19.68485323	15.6716514	430736.327	1.106881056
8022.5	-7.081953473	7.688924431	12.2220555	45000	12.68521971	15.24914304	19.76485895	15.66205704	430186.4767	1.107617257
8022.583333	-7.058608052	7.815542968	12.22081763	45000	12.59576835	15.25249612	19.77753077	15.69314633	429542.5211	1.108658051
8022.666667	-7.034955036	7.944751581	12.21649423	45000	12.50705622	15.24865856	19.77549376	15.69940488	428807.4367	1.109720372
8022.75	-7.010918829	8.074298291	12.21723458	45000	12.42953865	15.24289661	19.76653029	15.68838557	427984.5899	1.110791875
8022.833333	-6.986843199	8.202853762	12.22426648	45000	12.36294596	15.25173262	19.76653131	15.65814248	427077.71	1.111892466
8022.916667	-6.963074692	8.330031583	12.23996011	45000	12.30772713	15.25858726	19.76411894	15.62622726	426090.8581	1.113047025
8023	-6.939540819	8.455825309	12.25779326	45000	12.25479482	15.2683662	19.76358204	15.59071395	425028.3949	1.114290076
8023.083333	-6.927228096	8.580074773	12.27767004	45000	12.20398797	15.28057578	19.76444198	15.55162749	423894.9464	1.115630276
8023.166667	-6.932636647	8.702486877	12.29921877	45000	12.15497346	15.29235033	19.76468687	15.51186917	422695.3673	1.117075961
8023.25	-6.943927836	8.822768802	12.32145792	45000	12.10701123	15.30625836	19.76619582	15.4691322	421434.7048	1.118634041
8023.333333	-6.956788579	8.8336372	12.27867225	45000	11.99141492	15.26957239	19.72579031	15.45637411	420118.1603	1.120308735
8023.416667	-6.966854926	8.745929839	12.11854039	45000	11.77472216	15.11065339	19.58074715	15.4878614	418751.052	1.121833643
8023.5	-6.969931085	8.662416274	12.01059227	45000	11.66919588	14.99889702	19.45507944	15.4597284	417338.7774	1.122260571
8023.583333	-6.961599103	8.58224475	11.93321448	45000	11.59125788	14.91111067	19.3529135	15.40207923	415886.7755	1.122688737
8023.666667	-6.937693744	8.505806337	11.84867324	45000	11.50801237	14.8169297	19.2433335	15.34984305	414400.4913	1.123120463
8023.75	-6.893586039	8.432555128	11.76471914	45000	11.42612536	14.72280809	19.13379194	15.29826972	412885.341	1.123553379
8023.833333	-6.824988058	8.358801523	11.70180222	45000	11.41391066	14.63076792	19.02589291	15.24535772	411346.6781	1.12304248
8023.916667	-6.728179028	8.282112285	11.65922603	45000	11.43722822	14.5806467	18.95192977	15.17460319	409789.7623	1.122272007
8024	-6.597655834	8.204927208	11.65443828	45000	11.51057875	14.55318237	18.90087303	15.0944377	408219.7304	1.121322129
8024.083333	-6.464277569	8.128070623	11.65621293	45000	11.59773971	14.53529181	18.86062235	15.01801727	406641.5687	1.120347292
8024.166667	-6.343245777	8.050694362	11.67017752	45000	11.70313272	14.53874553	18.8419252	14.94194673	405060.0889	1.11937329
8024.25	-6.20642422	7.97321326	11.70597389	45000	11.83382596	14.55637183	18.8378345	14.8749969	403479.9057	1.118450152
8024.333333	-6.056882357	7.896881847	11.75188524	45000	11.97141802	14.5924529	18.85451752	14.80005892	401905.418	1.117669611
8024.416667	-5.897958331	7.822620903	11.79585231	45000	12.09849792	14.62607047	18.86947405	14.73548944	400340.7917	1.117075148
8024.5	-5.730116444	7.750928654	11.82700171	45000	12.2017266	14.64833587	18.87727526	14.68525759	398789.9465	1.116659556
8024.583333	-5.556576659	7.682384946	11.85805815	45000	12.29722589	14.67033183	18.88481437	14.63519466	397256.5442	1.11636901
8024.666667	-5.380657215	7.617840531	11.88606551	45000	12.38076452	14.69143241	18.89129603	14.58460513	395743.981	1.116203604
8024.75	-5.202518298	7.561513554	11.88132709	45000	12.38345595	14.68835593	18.87895455	14.55229885	394255.3809	1.116627459
8024.833333	-5.025390159	7.515388028	11.84847961	45000	12.35318685	14.64797702	18.83443696	14.52906303	392793.5932	1.117045915
8024.916667	-4.852438936	7.472251071	11.84619468	45000	12.40468002	14.62456379	18.79343411	14.47867992	391361.1908	1.116815662
8025	-4.68374072	7.427613813	11.88072828	45000	12.49897065	14.64544168	18.79303088	14.40524513	389960.4721	1.116564277
8025.083333	-4.519134868	7.387534932	11.88335759	45000	12.50908389	14.64630196	18.78163738	14.3627272	388593.4641	1.116958508
8025.166667	-4.35509493	7.356275341	11.87498773	45000	12.50498476	14.64161924	18.76597841	14.3248519	387261.9275	1.117345123
8025.25	-4.191323539	7.33253656	11.86465007	45000	12.49772924	14.62690044	18.74173832	14.28316854	385967.3642	1.11772201
8025.333333	-4.030950699	7.310141886	11.87816118	45000	12.55932175	14.61675308	18.71513919	14.23615778	384711.0248	1.117507926
8025.416667	-3.871775451	7.289294211	11.87979505	45000	12.56586074	14.6109993	18.69709442	14.19359791	383493.9194	1.117864485
8025.5	-3.713780196	7.274964965	11.87349624	45000	12.56187094	14.60538575	18.68058974	14.15610186	382316.8278	1.118211163
8025.583333	-3.558182083	7.341462991	11.97455593	45000	12.70737036	14.68030974	18.72766343	14.06047111	381180.3115	1.117997683
8025.666667	-3.406137754	7.481871824	12.09591208	45000	12.82684734	14.7857017	18.80689355	13.97891627	380084.7265	1.118334357
8025.75	-3.256123164	7.619884572	12.21310925	45000	12.9398565	14.89260322	18.89837322	13.92454182	379030.2361	1.118676617
8025.833333	-2.88243916	7.765869604	12.25456228	45000	12.89840247	14.94645929	18.95149965	13.91083627	378016.8248	1.119953844
8025.916667	-2.739271491	7.922915332	12.1887742	45000	12.72214817	14.87937373	18.89882876	13.96032925	377044.3118	1.121411821
8026	-2.598671915	8.083435759	12.20111664	45000	12.65783232	14.89511996	18.90307063	13.92101325	376112.3649	1.122566516
8026.083333	-2.455965365	8.24602501	12.22060315	45000	12.60053181	14.90659291	18.90306884	13.88163667	375220.5146	1.123769685
8026.166667	-2.314253601	8.410325056	12.24385716	45000	12.5450998	14.92150818	18.90665754	13.84256394	374368.1675	1.125053952
8026.25	-2.175730373	8.576681871	12.28164181	45000	12.50279337	14.94326089	18.91858843	13.80834149	373554.6196	1.126436858
8026.333333	-2.043449379	8.745275473	12.31523779	45000	12.45064627	14.97089599	18.93716367	13.77679327	372779.0699	1.127985206
8026.416667	-1.915179147	8.836248274	12.29704148	45000	12.34491947	14.96017396	18.92390813	13.76806289	372040.6323	1.129682089
8026.5	-1.790612217	8.855480301	12.1894112	45000	12.16114572	14.85058612	18.8254944	13.79841051	371338.348	1.131288186
8026.583333	-1.670491069	8.878286472	12.18938983	45000	12.15988548	14.83835328	18.79841203	13.7467404	370671.1968	1.131550828
8026.666667	-1.555454487	8.832730485	12.13938745	45000	12.10714389	14.79409849	18.74888993	13.72797706	370038.1082	1.131831364
8026.75	-1.444123442	8.728777033	12.05424008	45000	12.02076118	14.70851164	18.66345378	13.73065131	369437.9714	1.132064969
8026.833333	-1.337161735	8.636053878	11.94337139	45000	11.90968633	14.59940303	18.55395605	13.74039102	368869.6446	1.132276025
8026.916667	-1.235131254	8.552315102	11.8536905	45000	11.82047849	14.50550062	18.45619535	13.72825835	368331.9643	1.132461192
8027	-1.136805509	8.477932034	11.79562601	45000	11.76333087	14.43350649	18.37680293	13.69564697	367823.7529	1.132623704
8027.083333	-1.025473409	8.408589695	11.73866648	45000	11.75714921	14.36108377	18.2950324	13.67263294	367343.8264	1.131850492
8027.166667	-0.905340971	8.340634488	11.73478448	45000	11.8209396	14.34841711	18.26653104	13.61863647	366891.0011	1.130801463
8027.25	-0.792630031	8.274986084	11.75762462	45000	11.91700366	14.36661555	18.26809186	13.56161729	366464.0994	1.129722641
8027.333333	-0.687401662	8.211640083	11.78677531	45000	12.01743394	14.38549045	18.27706628	13.52718779	366061.9556	1.128738748
