46083	21170	15995		!Total capacity (kJ/h), sensible capacity (kJ/h), and power (kJ/h) at 805 (l/s), 19.44 [C],22.22 [C], and 29.44 [C]		
45557	21117	16645		!Total capacity (kJ/h), sensible capacity (kJ/h), and power (kJ/h) at 805 (l/s), 19.44 [C],22.22 [C], and 32.22 [C]		
45037	21063	17402		!Total capacity (kJ/h), sensible capacity (kJ/h), and power (kJ/h) at 805 (l/s), 19.44 [C],22.22 [C], and 35 [C]		
43986	21261	18395		!Total capacity (kJ/h), sensible capacity (kJ/h), and power (kJ/h) at 805 (l/s), 19.44 [C],22.22 [C], and 37.78 [C]		
43466	21515	19200		!Total capacity (kJ/h), sensible capacity (kJ/h), and power (kJ/h) at 805 (l/s), 19.44 [C],22.22 [C], and 40.56 [C]		
41720	21446	21222		!Total capacity (kJ/h), sensible capacity (kJ/h), and power (kJ/h) at 805 (l/s), 19.44 [C],22.22 [C], and 46.11 [C]		
46083	24002	15995		!Total capacity (kJ/h), sensible capacity (kJ/h), and power (kJ/h) at 805 (l/s), 19.44 [C],23.33 [C], and 29.44 [C]		
45557	23978	16645		!Total capacity (kJ/h), sensible capacity (kJ/h), and power (kJ/h) at 805 (l/s), 19.44 [C],23.33 [C], and 32.22 [C]		
45037	24255	17402		!Total capacity (kJ/h), sensible capacity (kJ/h), and power (kJ/h) at 805 (l/s), 19.44 [C],23.33 [C], and 35 [C]		
43986	24224	18395		!Total capacity (kJ/h), sensible capacity (kJ/h), and power (kJ/h) at 805 (l/s), 19.44 [C],23.33 [C], and 37.78 [C]		
43466	24199	19200		!Total capacity (kJ/h), sensible capacity (kJ/h), and power (kJ/h) at 805 (l/s), 19.44 [C],23.33 [C], and 40.56 [C]		
41720	24674	21222		!Total capacity (kJ/h), sensible capacity (kJ/h), and power (kJ/h) at 805 (l/s), 19.44 [C],23.33 [C], and 46.11 [C]		
46083	26633	15995		!Total capacity (kJ/h), sensible capacity (kJ/h), and power (kJ/h) at 805 (l/s), 19.44 [C],24.44 [C], and 29.44 [C]		
45557	26941	16645		!Total capacity (kJ/h), sensible capacity (kJ/h), and power (kJ/h) at 805 (l/s), 19.44 [C],24.44 [C], and 32.22 [C]		
45037	26950	17402		!Total capacity (kJ/h), sensible capacity (kJ/h), and power (kJ/h) at 805 (l/s), 19.44 [C],24.44 [C], and 35 [C]		
43986	27290	18395		!Total capacity (kJ/h), sensible capacity (kJ/h), and power (kJ/h) at 805 (l/s), 19.44 [C],24.44 [C], and 37.78 [C]		
43466	26995	19200		!Total capacity (kJ/h), sensible capacity (kJ/h), and power (kJ/h) at 805 (l/s), 19.44 [C],24.44 [C], and 40.56 [C]		
41720	27481	21222		!Total capacity (kJ/h), sensible capacity (kJ/h), and power (kJ/h) at 805 (l/s), 19.44 [C],24.44 [C], and 46.11 [C]		
46083	29462	15995		!Total capacity (kJ/h), sensible capacity (kJ/h), and power (kJ/h) at 805 (l/s), 19.44 [C],25.56 [C], and 29.44 [C]		
45557	29504	16645		!Total capacity (kJ/h), sensible capacity (kJ/h), and power (kJ/h) at 805 (l/s), 19.44 [C],25.56 [C], and 32.22 [C]		
45037	29845	17402		!Total capacity (kJ/h), sensible capacity (kJ/h), and power (kJ/h) at 805 (l/s), 19.44 [C],25.56 [C], and 35 [C]		
43986	30256	18395		!Total capacity (kJ/h), sensible capacity (kJ/h), and power (kJ/h) at 805 (l/s), 19.44 [C],25.56 [C], and 37.78 [C]		
43466	30303	19200		!Total capacity (kJ/h), sensible capacity (kJ/h), and power (kJ/h) at 805 (l/s), 19.44 [C],25.56 [C], and 40.56 [C]		
41720	30602	21222		!Total capacity (kJ/h), sensible capacity (kJ/h), and power (kJ/h) at 805 (l/s), 19.44 [C],25.56 [C], and 46.11 [C]		
46083	32290	15995		!Total capacity (kJ/h), sensible capacity (kJ/h), and power (kJ/h) at 805 (l/s), 19.44 [C],26.67 [C], and 29.44 [C]		
45557	32369	16645		!Total capacity (kJ/h), sensible capacity (kJ/h), and power (kJ/h) at 805 (l/s), 19.44 [C],26.67 [C], and 32.22 [C]		
45037	32743	17402		!Total capacity (kJ/h), sensible capacity (kJ/h), and power (kJ/h) at 805 (l/s), 19.44 [C],26.67 [C], and 35 [C]		
43986	32912	18395		!Total capacity (kJ/h), sensible capacity (kJ/h), and power (kJ/h) at 805 (l/s), 19.44 [C],26.67 [C], and 37.78 [C]		
43466	32993	19200		!Total capacity (kJ/h), sensible capacity (kJ/h), and power (kJ/h) at 805 (l/s), 19.44 [C],26.67 [C], and 40.56 [C]		
41720	33837	21222		!Total capacity (kJ/h), sensible capacity (kJ/h), and power (kJ/h) at 805 (l/s), 19.44 [C],26.67 [C], and 46.11 [C]		
49920	13959	15022		!Total capacity (kJ/h), sensible capacity (kJ/h), and power (kJ/h) at 805 (l/s), 21.67 [C],22.22 [C], and 29.44 [C]		
49137	14181	15778		!Total capacity (kJ/h), sensible capacity (kJ/h), and power (kJ/h) at 805 (l/s), 21.67 [C],22.22 [C], and 32.22 [C]		
