2000	4840	7680	!Air Flow Rate (l/s)			
280184	109542	103207	"!Total capacity (kJ/h), sensible capacity (kJ/h), and power (kJ/h) at 312.6 (l/s), 21.67 [C],23.33 [C], and 37.78 [C]"			
274267	107882	105802	"!Total capacity (kJ/h), sensible capacity (kJ/h), and power (kJ/h) at 312.6 (l/s), 21.67 [C],23.33 [C], and 40.56 [C]"			
262450	103481	112025	"!Total capacity (kJ/h), sensible capacity (kJ/h), and power (kJ/h) at 312.6 (l/s), 21.67 [C],23.33 [C], and 46.11 [C]"			
292968	132112	93873	"!Total capacity (kJ/h), sensible capacity (kJ/h), and power (kJ/h) at 312.6 (l/s), 21.67 [C],24.44 [C], and 29.44 [C]"			
288550	130451	96984	"!Total capacity (kJ/h), sensible capacity (kJ/h), and power (kJ/h) at 312.6 (l/s), 21.67 [C],24.44 [C], and 32.22 [C]"			
285584	128775	99580	"!Total capacity (kJ/h), sensible capacity (kJ/h), and power (kJ/h) at 312.6 (l/s), 21.67 [C],24.44 [C], and 35 [C]"			
280184	126034	103207	"!Total capacity (kJ/h), sensible capacity (kJ/h), and power (kJ/h) at 312.6 (l/s), 21.67 [C],24.44 [C], and 37.78 [C]"			
274267	124406	105802	"!Total capacity (kJ/h), sensible capacity (kJ/h), and power (kJ/h) at 312.6 (l/s), 21.67 [C],24.44 [C], and 40.56 [C]"			
262450	119441	112025	"!Total capacity (kJ/h), sensible capacity (kJ/h), and power (kJ/h) at 312.6 (l/s), 21.67 [C],24.44 [C], and 46.11 [C]"			
292968	148604	93873	"!Total capacity (kJ/h), sensible capacity (kJ/h), and power (kJ/h) at 312.6 (l/s), 21.67 [C],25.56 [C], and 29.44 [C]"			
288550	148604	96984	"!Total capacity (kJ/h), sensible capacity (kJ/h), and power (kJ/h) at 312.6 (l/s), 21.67 [C],25.56 [C], and 32.22 [C]"			
285584	146959	99580	"!Total capacity (kJ/h), sensible capacity (kJ/h), and power (kJ/h) at 312.6 (l/s), 21.67 [C],25.56 [C], and 35 [C]"			
280184	145299	103207	"!Total capacity (kJ/h), sensible capacity (kJ/h), and power (kJ/h) at 312.6 (l/s), 21.67 [C],25.56 [C], and 37.78 [C]"			
274267	142010	105802	"!Total capacity (kJ/h), sensible capacity (kJ/h), and power (kJ/h) at 312.6 (l/s), 21.67 [C],25.56 [C], and 40.56 [C]"			
262450	138689	112025	"!Total capacity (kJ/h), sensible capacity (kJ/h), and power (kJ/h) at 312.6 (l/s), 21.67 [C],25.56 [C], and 46.11 [C]"			
292968	167901	93873	"!Total capacity (kJ/h), sensible capacity (kJ/h), and power (kJ/h) at 312.6 (l/s), 21.67 [C],26.67 [C], and 29.44 [C]"			
288550	166224	96984	"!Total capacity (kJ/h), sensible capacity (kJ/h), and power (kJ/h) at 312.6 (l/s), 21.67 [C],26.67 [C], and 32.22 [C]"			
285584	164563	99580	"!Total capacity (kJ/h), sensible capacity (kJ/h), and power (kJ/h) at 312.6 (l/s), 21.67 [C],26.67 [C], and 35 [C]"			
280184	162935	103207	"!Total capacity (kJ/h), sensible capacity (kJ/h), and power (kJ/h) at 312.6 (l/s), 21.67 [C],26.67 [C], and 37.78 [C]"			
274267	161259	105802	"!Total capacity (kJ/h), sensible capacity (kJ/h), and power (kJ/h) at 312.6 (l/s), 21.67 [C],26.67 [C], and 40.56 [C]"			
262450	154665	112025	"!Total capacity (kJ/h), sensible capacity (kJ/h), and power (kJ/h) at 312.6 (l/s), 21.67 [C],26.67 [C], and 46.11 [C]"			
