963	1100	1148	!Air flow rate (l/s)													
47178	24576		!Capacity (kJ/h) and power (kJ/h) at 1100 (l/s), 15.56 [C], and 0 [C]													
51637	23082		!Capacity (kJ/h) and power (kJ/h) at 1100 (l/s), 15.56 [C], and 2.78 [C]													
55900	21902		!Capacity (kJ/h) and power (kJ/h) at 1100 (l/s), 15.56 [C], and 5.56 [C]													
52798	20612		!Capacity (kJ/h) and power (kJ/h) at 1100 (l/s), 15.56 [C], and 8.33 [C]													
55900	19587		!Capacity (kJ/h) and power (kJ/h) at 1100 (l/s), 15.56 [C], and 11.11 [C]													
59095	18635		!Capacity (kJ/h) and power (kJ/h) at 1100 (l/s), 15.56 [C], and 13.89 [C]													
62197	17809		!Capacity (kJ/h) and power (kJ/h) at 1100 (l/s), 15.56 [C], and 16.67 [C]													
65585	16987		!Capacity (kJ/h) and power (kJ/h) at 1100 (l/s), 15.56 [C], and 19.44 [C]													
68686	16315		!Capacity (kJ/h) and power (kJ/h) at 1100 (l/s), 15.56 [C], and 22.22 [C]													
19570	45353		!Capacity (kJ/h) and power (kJ/h) at 1100 (l/s), 21.11 [C], and -19.44 [C]													
22963	40901		!Capacity (kJ/h) and power (kJ/h) at 1100 (l/s), 21.11 [C], and -16.67 [C]													
26158	37895		!Capacity (kJ/h) and power (kJ/h) at 1100 (l/s), 21.11 [C], and -13.89 [C]													
29549	35514		!Capacity (kJ/h) and power (kJ/h) at 1100 (l/s), 21.11 [C], and -11.11 [C]													
32937	33435		!Capacity (kJ/h) and power (kJ/h) at 1100 (l/s), 21.11 [C], and -8.33 [C]													
37204	30643		!Capacity (kJ/h) and power (kJ/h) at 1100 (l/s), 21.11 [C], and -5.56 [C]													
41461	28279		!Capacity (kJ/h) and power (kJ/h) at 1100 (l/s), 21.11 [C], and -2.78 [C]													
45724	26492		!Capacity (kJ/h) and power (kJ/h) at 1100 (l/s), 21.11 [C], and 0 [C]													
49991	24879		!Capacity (kJ/h) and power (kJ/h) at 1100 (l/s), 21.11 [C], and 2.78 [C]													
54253	23644		!Capacity (kJ/h) and power (kJ/h) at 1100 (l/s), 21.11 [C], and 5.56 [C]													
51151	22289		!Capacity (kJ/h) and power (kJ/h) at 1100 (l/s), 21.11 [C], and 8.33 [C] (rated point)													
54253	21132		!Capacity (kJ/h) and power (kJ/h) at 1100 (l/s), 21.11 [C], and 11.11 [C]													
57060	20209		!Capacity (kJ/h) and power (kJ/h) at 1100 (l/s), 21.11 [C], and 13.89 [C]													
60162	19272		!Capacity (kJ/h) and power (kJ/h) at 1100 (l/s), 21.11 [C], and 16.67 [C]													
63353	18406		!Capacity (kJ/h) and power (kJ/h) at 1100 (l/s), 21.11 [C], and 19.44 [C]													
66459	17642		!Capacity (kJ/h) and power (kJ/h) at 1100 (l/s), 21.11 [C], and 22.22 [C]													
19281	46699		!Capacity (kJ/h) and power (kJ/h) at 1100 (l/s), 23.89 [C], and -19.44 [C]													
22476	42660		!Capacity (kJ/h) and power (kJ/h) at 1100 (l/s), 23.89 [C], and -16.67 [C]													
25867	39069		!Capacity (kJ/h) and power (kJ/h) at 1100 (l/s), 23.89 [C], and -13.89 [C]													
28966	36901		!Capacity (kJ/h) and power (kJ/h) at 1100 (l/s), 23.89 [C], and -11.11 [C]													
32357	34832		!Capacity (kJ/h) and power (kJ/h) at 1100 (l/s), 23.89 [C], and -8.33 [C]													
36329	31915		!Capacity (kJ/h) and power (kJ/h) at 1100 (l/s), 23.89 [C], and -5.56 [C]													
40592	29521		!Capacity (kJ/h) and power (kJ/h) at 1100 (l/s), 23.89 [C], and -2.78 [C]													
44854	27586		!Capacity (kJ/h) and power (kJ/h) at 1100 (l/s), 23.89 [C], and 0 [C]													
49116	25852		!Capacity (kJ/h) and power (kJ/h) at 1100 (l/s), 23.89 [C], and 2.78 [C]													
53087	24649		!Capacity (kJ/h) and power (kJ/h) at 1100 (l/s), 23.89 [C], and 5.56 [C]													
50281	23192		!Capacity (kJ/h) and power (kJ/h) at 1100 (l/s), 23.89 [C], and 8.33 [C]													
53087	22086		!Capacity (kJ/h) and power (kJ/h) at 1100 (l/s), 23.89 [C], and 11.11 [C]													
56189	20980		!Capacity (kJ/h) and power (kJ/h) at 1100 (l/s), 23.89 [C], and 13.89 [C]													
59386	19963		!Capacity (kJ/h) and power (kJ/h) at 1100 (l/s), 23.89 [C], and 16.67 [C]													
62197	19163		!Capacity (kJ/h) and power (kJ/h) at 1100 (l/s), 23.89 [C], and 19.44 [C]													
65294	18352		!Capacity (kJ/h) and power (kJ/h) at 1100 (l/s), 23.89 [C], and 22.22 [C]													
18990	48434		!Capacity (kJ/h) and power (kJ/h) at 1100 (l/s), 26.67 [C], and -19.44 [C]													
22185	44092		!Capacity (kJ/h) and power (kJ/h) at 1100 (l/s), 26.67 [C], and -16.67 [C]													
25287	40986		!Capacity (kJ/h) and power (kJ/h) at 1100 (l/s), 26.67 [C], and -13.89 [C]													
28675	37952		!Capacity (kJ/h) and power (kJ/h) at 1100 (l/s), 26.67 [C], and -11.11 [C]													
31773	36084		!Capacity (kJ/h) and power (kJ/h) at 1100 (l/s), 26.67 [C], and -8.33 [C]													
35749	33162		!Capacity (kJ/h) and power (kJ/h) at 1100 (l/s), 26.67 [C], and -5.56 [C]													
40007	30603		!Capacity (kJ/h) and power (kJ/h) at 1100 (l/s), 26.67 [C], and -2.78 [C]													
43983	28719		!Capacity (kJ/h) and power (kJ/h) at 1100 (l/s), 26.67 [C], and 0 [C]													
48245	26985		!Capacity (kJ/h) and power (kJ/h) at 1100 (l/s), 26.67 [C], and 2.78 [C]													
52218	25554		!Capacity (kJ/h) and power (kJ/h) at 1100 (l/s), 26.67 [C], and 5.56 [C]													
49406	24124		!Capacity (kJ/h) and power (kJ/h) at 1100 (l/s), 26.67 [C], and 8.33 [C]													
52218	22948		!Capacity (kJ/h) and power (kJ/h) at 1100 (l/s), 26.67 [C], and 11.11 [C]													
55413	21744		!Capacity (kJ/h) and power (kJ/h) at 1100 (l/s), 26.67 [C], and 13.89 [C]													
58225	20804		!Capacity (kJ/h) and power (kJ/h) at 1100 (l/s), 26.67 [C], and 16.67 [C]													
61032	19956		!Capacity (kJ/h) and power (kJ/h) at 1100 (l/s), 26.67 [C], and 19.44 [C]													
64135	19090		!Capacity (kJ/h) and power (kJ/h) at 1100 (l/s), 26.67 [C], and 22.22 [C]													
20441	41188		!Capacity (kJ/h) and power (kJ/h) at 1148 (l/s), 15.56 [C], and -19.44 [C]													
23828	37517		!Capacity (kJ/h) and power (kJ/h) at 1148 (l/s), 15.56 [C], and -16.67 [C]													
27225	34741		!Capacity (kJ/h) and power (kJ/h) at 1148 (l/s), 15.56 [C], and -13.89 [C]													
30907	32072		!Capacity (kJ/h) and power (kJ/h) at 1148 (l/s), 15.56 [C], and -11.11 [C]													
34388	30325		!Capacity (kJ/h) and power (kJ/h) at 1148 (l/s), 15.56 [C], and -8.33 [C]													
38650	27821		!Capacity (kJ/h) and power (kJ/h) at 1148 (l/s), 15.56 [C], and -5.56 [C]													
43403	25520		!Capacity (kJ/h) and power (kJ/h) at 1148 (l/s), 15.56 [C], and -2.78 [C]													
47665	24052		!Capacity (kJ/h) and power (kJ/h) at 1148 (l/s), 15.56 [C], and 0 [C]													
52218	22576		!Capacity (kJ/h) and power (kJ/h) at 1148 (l/s), 15.56 [C], and 2.78 [C]													
56475	21449		!Capacity (kJ/h) and power (kJ/h) at 1148 (l/s), 15.56 [C], and 5.56 [C]													
53378	20143		!Capacity (kJ/h) and power (kJ/h) at 1148 (l/s), 15.56 [C], and 8.33 [C]													
56475	19156		!Capacity (kJ/h) and power (kJ/h) at 1148 (l/s), 15.56 [C], and 11.11 [C]													
59675	18237		!Capacity (kJ/h) and power (kJ/h) at 1148 (l/s), 15.56 [C], and 13.89 [C]													
62777	17440		!Capacity (kJ/h) and power (kJ/h) at 1148 (l/s), 15.56 [C], and 16.67 [C]													
66170	16643		!Capacity (kJ/h) and power (kJ/h) at 1148 (l/s), 15.56 [C], and 19.44 [C]													
69266	15992		!Capacity (kJ/h) and power (kJ/h) at 1148 (l/s), 15.56 [C], and 22.22 [C]													
19861	44358		!Capacity (kJ/h) and power (kJ/h) at 1148 (l/s), 21.11 [C], and -19.44 [C]													
23252	40116		!Capacity (kJ/h) and power (kJ/h) at 1148 (l/s), 21.11 [C], and -16.67 [C]													
26448	36987		!Capacity (kJ/h) and power (kJ/h) at 1148 (l/s), 21.11 [C], and -13.89 [C]													
29840	34734		!Capacity (kJ/h) and power (kJ/h) at 1148 (l/s), 21.11 [C], and -11.11 [C]													
33231	32747		!Capacity (kJ/h) and power (kJ/h) at 1148 (l/s), 21.11 [C], and -8.33 [C]													
37493	30060		!Capacity (kJ/h) and power (kJ/h) at 1148 (l/s), 21.11 [C], and -5.56 [C]													
41757	27768		!Capacity (kJ/h) and power (kJ/h) at 1148 (l/s), 21.11 [C], and -2.78 [C]													
46309	25876		!Capacity (kJ/h) and power (kJ/h) at 1148 (l/s), 21.11 [C], and 0 [C]													
50571	24337		!Capacity (kJ/h) and power (kJ/h) at 1148 (l/s), 21.11 [C], and 2.78 [C]													
54833	23156		!Capacity (kJ/h) and power (kJ/h) at 1148 (l/s), 21.11 [C], and 5.56 [C]													
51637	21826		!Capacity (kJ/h) and power (kJ/h) at 1148 (l/s), 21.11 [C], and 8.33 [C]													
54833	20675		!Capacity (kJ/h) and power (kJ/h) at 1148 (l/s), 21.11 [C], and 11.11 [C]													
57640	19779		!Capacity (kJ/h) and power (kJ/h) at 1148 (l/s), 21.11 [C], and 13.89 [C]													
60737	18876		!Capacity (kJ/h) and power (kJ/h) at 1148 (l/s), 21.11 [C], and 16.67 [C]													
