3238	3700	3861	!Air Flow Rate (l/s)													
147098	91357	64978		!Total capacity (kJ/h), sensible capacity (kJ/h), and power (kJ/h) at 3238 (l/s), 19.44 [C],24.44 [C], and 40.56 [C]												
141191	93002	71820		!Total capacity (kJ/h), sensible capacity (kJ/h), and power (kJ/h) at 3238 (l/s), 19.44 [C],24.44 [C], and 46.11 [C]												
155955	99707	54132		!Total capacity (kJ/h), sensible capacity (kJ/h), and power (kJ/h) at 3238 (l/s), 19.44 [C],25.56 [C], and 29.44 [C]												
154176	99848	56330		!Total capacity (kJ/h), sensible capacity (kJ/h), and power (kJ/h) at 3238 (l/s), 19.44 [C],25.56 [C], and 32.22 [C]												
152416	101002	58891		!Total capacity (kJ/h), sensible capacity (kJ/h), and power (kJ/h) at 3238 (l/s), 19.44 [C],25.56 [C], and 35 [C]												
148857	102392	62253		!Total capacity (kJ/h), sensible capacity (kJ/h), and power (kJ/h) at 3238 (l/s), 19.44 [C],25.56 [C], and 37.78 [C]												
147098	102553	64978		!Total capacity (kJ/h), sensible capacity (kJ/h), and power (kJ/h) at 3238 (l/s), 19.44 [C],25.56 [C], and 40.56 [C]												
141191	103563	71820		!Total capacity (kJ/h), sensible capacity (kJ/h), and power (kJ/h) at 3238 (l/s), 19.44 [C],25.56 [C], and 46.11 [C]												
155955	109277	54132		!Total capacity (kJ/h), sensible capacity (kJ/h), and power (kJ/h) at 3238 (l/s), 19.44 [C],26.67 [C], and 29.44 [C]												
154176	109542	56330		!Total capacity (kJ/h), sensible capacity (kJ/h), and power (kJ/h) at 3238 (l/s), 19.44 [C],26.67 [C], and 32.22 [C]												
152416	110808	58891		!Total capacity (kJ/h), sensible capacity (kJ/h), and power (kJ/h) at 3238 (l/s), 19.44 [C],26.67 [C], and 35 [C]												
148857	111381	62253		!Total capacity (kJ/h), sensible capacity (kJ/h), and power (kJ/h) at 3238 (l/s), 19.44 [C],26.67 [C], and 37.78 [C]												
147098	111655	64978		!Total capacity (kJ/h), sensible capacity (kJ/h), and power (kJ/h) at 3238 (l/s), 19.44 [C],26.67 [C], and 40.56 [C]												
141191	114511	71820		!Total capacity (kJ/h), sensible capacity (kJ/h), and power (kJ/h) at 3238 (l/s), 19.44 [C],26.67 [C], and 46.11 [C]												
168940	47240	50838		!Total capacity (kJ/h), sensible capacity (kJ/h), and power (kJ/h) at 3238 (l/s), 21.67 [C],22.22 [C], and 29.44 [C]												
166291	47992	53396		!Total capacity (kJ/h), sensible capacity (kJ/h), and power (kJ/h) at 3238 (l/s), 21.67 [C],22.22 [C], and 32.22 [C]												
164511	47567	55440		!Total capacity (kJ/h), sensible capacity (kJ/h), and power (kJ/h) at 3238 (l/s), 21.67 [C],22.22 [C], and 35 [C]												
160972	47665	58479		!Total capacity (kJ/h), sensible capacity (kJ/h), and power (kJ/h) at 3238 (l/s), 21.67 [C],22.22 [C], and 37.78 [C]												
157424	47103	61327		!Total capacity (kJ/h), sensible capacity (kJ/h), and power (kJ/h) at 3238 (l/s), 21.67 [C],22.22 [C], and 40.56 [C]												
150637	47171	67957		!Total capacity (kJ/h), sensible capacity (kJ/h), and power (kJ/h) at 3238 (l/s), 21.67 [C],22.22 [C], and 46.11 [C]												
168940	56389	50838		!Total capacity (kJ/h), sensible capacity (kJ/h), and power (kJ/h) at 3238 (l/s), 21.67 [C],23.33 [C], and 29.44 [C]												
166291	56343	53396		!Total capacity (kJ/h), sensible capacity (kJ/h), and power (kJ/h) at 3238 (l/s), 21.67 [C],23.33 [C], and 32.22 [C]												
164511	56029	55440		!Total capacity (kJ/h), sensible capacity (kJ/h), and power (kJ/h) at 3238 (l/s), 21.67 [C],23.33 [C], and 35 [C]												
160972	56294	58479		!Total capacity (kJ/h), sensible capacity (kJ/h), and power (kJ/h) at 3238 (l/s), 21.67 [C],23.33 [C], and 37.78 [C]												
157424	56585	61327		!Total capacity (kJ/h), sensible capacity (kJ/h), and power (kJ/h) at 3238 (l/s), 21.67 [C],23.33 [C], and 40.56 [C]												
150637	56052	67957		!Total capacity (kJ/h), sensible capacity (kJ/h), and power (kJ/h) at 3238 (l/s), 21.67 [C],23.33 [C], and 46.11 [C]												
168940	64307	50838		!Total capacity (kJ/h), sensible capacity (kJ/h), and power (kJ/h) at 3238 (l/s), 21.67 [C],24.44 [C], and 29.44 [C]												
166291	64405	53396		!Total capacity (kJ/h), sensible capacity (kJ/h), and power (kJ/h) at 3238 (l/s), 21.67 [C],24.44 [C], and 32.22 [C]												
164511	65102	55440		!Total capacity (kJ/h), sensible capacity (kJ/h), and power (kJ/h) at 3238 (l/s), 21.67 [C],24.44 [C], and 35 [C]												
160972	65560	58479		!Total capacity (kJ/h), sensible capacity (kJ/h), and power (kJ/h) at 3238 (l/s), 21.67 [C],24.44 [C], and 37.78 [C]												
