262.5	300	312.6	!Air flow rate (l/s)													
14370	5363	!Capacity (kJ/h) and power (kJ/h) at 300 (l/s), 26.67 [C], and 22.22 [C]														
4580	3688	!Capacity (kJ/h) and power (kJ/h) at 312.6 (l/s), 15.56 [C], and -19.44 [C]														
5339	3916	!Capacity (kJ/h) and power (kJ/h) at 312.6 (l/s), 15.56 [C], and -16.67 [C]														
6100	4143	!Capacity (kJ/h) and power (kJ/h) at 312.6 (l/s), 15.56 [C], and -13.89 [C]														
6925	4342	!Capacity (kJ/h) and power (kJ/h) at 312.6 (l/s), 15.56 [C], and -11.11 [C]														
7705	4568	!Capacity (kJ/h) and power (kJ/h) at 312.6 (l/s), 15.56 [C], and -8.33 [C]														
8660	4710	!Capacity (kJ/h) and power (kJ/h) at 312.6 (l/s), 15.56 [C], and -5.56 [C]														
9725	4852	!Capacity (kJ/h) and power (kJ/h) at 312.6 (l/s), 15.56 [C], and -2.78 [C]														
10680	5022	!Capacity (kJ/h) and power (kJ/h) at 312.6 (l/s), 15.56 [C], and 0 [C]														
11700	5164	!Capacity (kJ/h) and power (kJ/h) at 312.6 (l/s), 15.56 [C], and 2.78 [C]														
12654	5306	!Capacity (kJ/h) and power (kJ/h) at 312.6 (l/s), 15.56 [C], and 5.56 [C]														
11960	4710	!Capacity (kJ/h) and power (kJ/h) at 312.6 (l/s), 15.56 [C], and 8.33 [C]														
12654	4739	!Capacity (kJ/h) and power (kJ/h) at 312.6 (l/s), 15.56 [C], and 11.11 [C]														
13371	4767	!Capacity (kJ/h) and power (kJ/h) at 312.6 (l/s), 15.56 [C], and 13.89 [C]														
14066	4796	!Capacity (kJ/h) and power (kJ/h) at 312.6 (l/s), 15.56 [C], and 16.67 [C]														
14826	4824	!Capacity (kJ/h) and power (kJ/h) at 312.6 (l/s), 15.56 [C], and 19.44 [C]														
15520	4852	!Capacity (kJ/h) and power (kJ/h) at 312.6 (l/s), 15.56 [C], and 22.22 [C]														
4450	3859	!Capacity (kJ/h) and power (kJ/h) at 312.6 (l/s), 21.11 [C], and -19.44 [C]														
5210	4086	!Capacity (kJ/h) and power (kJ/h) at 312.6 (l/s), 21.11 [C], and -16.67 [C]														
5926	4285	!Capacity (kJ/h) and power (kJ/h) at 312.6 (l/s), 21.11 [C], and -13.89 [C]														
6686	4540	!Capacity (kJ/h) and power (kJ/h) at 312.6 (l/s), 21.11 [C], and -11.11 [C]														
7446	4767	!Capacity (kJ/h) and power (kJ/h) at 312.6 (l/s), 21.11 [C], and -8.33 [C]														
8401	4937	!Capacity (kJ/h) and power (kJ/h) at 312.6 (l/s), 21.11 [C], and -5.56 [C]														
9356	5079	!Capacity (kJ/h) and power (kJ/h) at 312.6 (l/s), 21.11 [C], and -2.78 [C]														
10376	5249	!Capacity (kJ/h) and power (kJ/h) at 312.6 (l/s), 21.11 [C], and 0 [C]														
11331	5391	!Capacity (kJ/h) and power (kJ/h) at 312.6 (l/s), 21.11 [C], and 2.78 [C]														
12286	5562	!Capacity (kJ/h) and power (kJ/h) at 312.6 (l/s), 21.11 [C], and 5.56 [C]														
11570	4937	!Capacity (kJ/h) and power (kJ/h) at 312.6 (l/s), 21.11 [C], and 8.33 [C]														
12286	4966	!Capacity (kJ/h) and power (kJ/h) at 312.6 (l/s), 21.11 [C], and 11.11 [C]														
12915	4994	!Capacity (kJ/h) and power (kJ/h) at 312.6 (l/s), 21.11 [C], and 13.89 [C]														
13609	5022	!Capacity (kJ/h) and power (kJ/h) at 312.6 (l/s), 21.11 [C], and 16.67 [C]														
14305	5051	!Capacity (kJ/h) and power (kJ/h) at 312.6 (l/s), 21.11 [C], and 19.44 [C]														
15021	5079	!Capacity (kJ/h) and power (kJ/h) at 312.6 (l/s), 21.11 [C], and 22.22 [C]														
4385	3916	!Capacity (kJ/h) and power (kJ/h) at 312.6 (l/s), 23.89 [C], and -19.44 [C]														
5080	4171	!Capacity (kJ/h) and power (kJ/h) at 312.6 (l/s), 23.89 [C], and -16.67 [C]														
5861	4370	!Capacity (kJ/h) and power (kJ/h) at 312.6 (l/s), 23.89 [C], and -13.89 [C]														
6556	4625	!Capacity (kJ/h) and power (kJ/h) at 312.6 (l/s), 23.89 [C], and -11.11 [C]														
7315	4880	!Capacity (kJ/h) and power (kJ/h) at 312.6 (l/s), 23.89 [C], and -8.33 [C]														
8205	5022	!Capacity (kJ/h) and power (kJ/h) at 312.6 (l/s), 23.89 [C], and -5.56 [C]														
9160	5193	!Capacity (kJ/h) and power (kJ/h) at 312.6 (l/s), 23.89 [C], and -2.78 [C]														
10180	5363	!Capacity (kJ/h) and power (kJ/h) at 312.6 (l/s), 23.89 [C], and 0 [C]														
11135	5505	!Capacity (kJ/h) and power (kJ/h) at 312.6 (l/s), 23.89 [C], and 2.78 [C]														
12025	5675	!Capacity (kJ/h) and power (kJ/h) at 312.6 (l/s), 23.89 [C], and 5.56 [C]														
11396	5051	!Capacity (kJ/h) and power (kJ/h) at 312.6 (l/s), 23.89 [C], and 8.33 [C]														
12025	5079	!Capacity (kJ/h) and power (kJ/h) at 312.6 (l/s), 23.89 [C], and 11.11 [C]														
12719	5108	!Capacity (kJ/h) and power (kJ/h) at 312.6 (l/s), 23.89 [C], and 13.89 [C]														
13415	5136	!Capacity (kJ/h) and power (kJ/h) at 312.6 (l/s), 23.89 [C], and 16.67 [C]														
14066	5164	!Capacity (kJ/h) and power (kJ/h) at 312.6 (l/s), 23.89 [C], and 19.44 [C]														
14761	5193	!Capacity (kJ/h) and power (kJ/h) at 312.6 (l/s), 23.89 [C], and 22.22 [C]														
4255	4001	!Capacity (kJ/h) and power (kJ/h) at 312.6 (l/s), 26.67 [C], and -19.44 [C]														
5036	4228	!Capacity (kJ/h) and power (kJ/h) at 312.6 (l/s), 26.67 [C], and -16.67 [C]														
5731	4483	!Capacity (kJ/h) and power (kJ/h) at 312.6 (l/s), 26.67 [C], and -13.89 [C]														
6490	4710	!Capacity (kJ/h) and power (kJ/h) at 312.6 (l/s), 26.67 [C], and -11.11 [C]														
7184	4966	!Capacity (kJ/h) and power (kJ/h) at 312.6 (l/s), 26.67 [C], and -8.33 [C]														
