   329
  13.5  15.3  18.3  22.7  25.5  28.0  29.3  29.5  27.2  23.3  18.3  15.1
    53CUT BANK        MT        48.60       .00       .00
  4564  7806 12802 16851 21365 23212 25954 21524 15342  9888  5451  3795
    10    22    27    31    44    66    77    66    48    35    27    24
  -8.8  -5.3  -2.9   4.2   9.8  13.6  18.0  17.0  11.8   6.7  -1.3  -5.9
    54DAGGETT         CA        34.87       .00       .00
 10875 14535 20114 25809 29407 31394 29546 27040 22788 17201 12315  9942
    31    41    41    43    50    54    60    66    60    46    43    31
   8.5  11.1  13.7  17.9  22.4  26.7  30.7  29.7  26.2  20.1  13.1   8.9
    55DALLAS          TX        32.85       .00       .00
  9323 12156 16136 18463 21433 24229 24083 22133 18012 14482 10627  8853
    39    35    48    94   117   143   147   144   135    94    52    39
   7.4   9.7  13.2  19.1  23.2  27.6  29.8  29.9  25.7  20.0  13.3   9.0
    56DAYTON          OH        39.90       .00       .00
  5552  8232 11637 15924 19286 21264 20537 18675 14958 10996  6402  4625
    27    31    30    52    82   110   124   124   101    66    39    31
  -2.2   -.9   3.9  10.8  16.4  21.8  23.7  22.8  19.1  13.1   5.4   -.6
    57DAYTONA BEACH   FL        29.18       .00       .00
 10877 13767 17567 21379 22336 20723 20247 19088 16769 14202 11752  9878
   114   114   114   132   151   167   182   182   173   151   132   114
  14.7  15.3  17.7  20.9  23.9  26.3  27.2  27.3  26.4  22.9  18.4  15.3
    58DEL RIO         TX        29.37       .00       .00
 10876 13685 17931 19287 20736 22969 23314 21977 17979 15430 12024 10244
    49    60    66   110   124   151   151   147   143   117    77    44
  10.4  13.2  17.0  22.2  25.7  29.1  30.4  30.1  26.8  21.8  15.3  11.3
    59DENVER          CO        39.75       .00       .00
  9534 12790 17368 21328 24229 26678 25792 23198 19597 14759 10027  8305
    21    21    24    24    43    60    77    77    55    32    23    21
  -1.2    .4   2.8   8.6  13.9  18.9  22.8  22.0  17.1  11.1   4.1    .3
    60DES MOINES      IA        41.53       .00       .00
  6590  9768 13397 17666 21194 24114 23796 20745 16273 12118  7471  5526
    27    31    31    44    82   108   143   143    88    66    31    31
  -7.0  -4.3   1.1   9.7  16.1  21.4  23.9  22.9  17.9  12.4   3.2  -3.9
    61DETROIT         MI        42.42       .00       .00
  4737  7722 11351 15877 19474 21178 20830 17880 14223  9943  5422  3898
    31    24    31    39    60   101   117   108   108    62    43    24
  -3.6  -2.8   1.9   8.9  14.7  20.6  22.9  22.2  18.1  12.4   5.1  -1.3
    62DILLON          MT        45.25       .00       .00
  5975  9604 14518 18600 22575 24326 27147 22962 17263 11613  6832  5108
    24    24    27    30    41    57    66    60    44    35    28    24
  -6.6  -3.6  -1.3   5.1  10.2  14.2  19.1  18.1  12.6   7.2   -.1  -4.5
    63DODGE CITY      KS        37.77       .00       .00
  9381 12734 16756 21402 23716 26763 26051 23326 19142 14761 10142  8306
    27    27    31    44    82   110   124   117    89    52    30    27
   -.7   1.8   5.1  12.2  17.8  23.2  26.2  25.6  20.5  14.4   6.0    .8
    64DULUTH          MN        46.83       .00       .00
  4410  7636 11740 15580 18642 20056 21044 17556 12427  8226  4321  3311
    22    22    22    31    49    77    94    94    67    43    31    22
 -13.1 -11.1  -4.7   3.7   9.7  15.0  18.7  17.8  12.4   7.4  -2.0  -9.8
    65EAGLE           CO        39.65       .00       .00
  8559 12234 17043 21933 25595 28473 27062 23649 20051 14835  9858  7841
    21    24    24    25    30    32    54    64    44    29    27    21
  -7.8  -4.8   -.5   5.5  10.7  14.9  18.8  17.6  13.1   7.1   -.6  -6.5
    66EAU CLAIRE      WI        44.87       .00       .00
  5126  8471 12373 16182 19075 21244 21408 18393 13575  9375  5113  3868
    22    17    27    39    66    94   117   108    77    49    31    27
 -11.3  -9.2  -2.6   6.9  13.4  18.9  21.4  20.2  14.8   9.3    .0  -7.8
    67ELKO            NV        40.83       .00       .00
  7818 11739 16604 21560 26140 28755 29767 26283 21479 15009  9216  7002
    31    27    27    29    38    38   -21    32    33    32    28    31
  -4.9  -1.6   1.7   6.4  11.1  15.3  20.8  19.4  14.2   8.3   1.6  -3.4
    68EL PASO         TX        31.80       .00       .00
 12769 16798 21668 26823 29514 30443 27806 25927 22552 18601 14115 11697
    28    25    27    28    32    49    91    91    78    55    32    28
   6.4   9.1  12.6  17.7  22.3  26.8  27.9  26.9  23.4  17.8  10.9   6.9
    69ELY             NV        39.28       .00       .00
  9300 12949 18227 22797 26224 28519 27772 25312 21963 15975 10514  8201
    16    21    24    27    31    38    38    40    29    28    27    21
  -4.7  -2.3    .4   5.2  10.0  14.3  19.6  18.6  13.7   7.8   1.1  -3.2
    70ERIE            PA        42.08       .00       .00
  3922  6546 10445 15423 18684 20957 20800 16512 13633  9387  4723  3151
    31    31    31    39    77   101   124   124   101    57    43    42
  -3.8  -3.8    .5   7.1  12.6  18.1  20.4  19.7  16.3  10.9   4.5  -1.6
    71EVANSVILLE      IN        38.05       .00       .00
