01 06 13 328 225 103 10.8 -5.3 40 1 10330 1 7
01 06 14 242 158 83 10.6 -4.6 39 1 10326 1 15
01 06 15 131 89 42 9.5 -5.4 41 2 10323 2 22
01 06 16 17 14 3 8 -7.6 47 1 10321 2 26
01 06 17 0 0 0 6.5 -9.9 54 1 10320 3 30
01 06 18 0 0 0 5.2 -11.6 59 0 10318 3 34
01 06 19 0 0 0 4.3 -12.5 60 0 10316 4 35
01 06 20 0 0 0 4 -12.9 62 0 10314 5 35
01 06 21 0 0 0 3.9 -13 63 0 10312 6 36
01 06 22 0 0 0 3.8 -13.2 63 0 10308 6 36
01 06 23 0 0 0 3.5 -13.5 62 0 10305 5 36
01 07 0 0 0 0 2.9 -14.1 61 0 10300 5 36
01 07 1 0 0 0 2.8 -14.3 61 0 10294 5 36
01 07 2 0 0 0 2.9 -14.2 60 0 10289 5 36
01 07 3 0 0 0 3.1 -14 60 0 10286 5 36
01 07 4 0 0 0 3.1 -14.1 61 0 10284 6 36
01 07 5 0 0 0 2.6 -14.6 61 0 10283 6 36
01 07 6 0 0 0 2 -14.9 61 0 10284 6 36
01 07 7 11 6 6 1.8 -14.5 60 1 10287 6 36
01 07 8 106 42 64 2.6 -13.2 60 1 10290 6 36
01 07 9 228 131 97 4.7 -9.8 61 2 10292 6 36
01 07 10 311 189 122 7.4 -5.3 62 3 10293 6 27
01 07 11 350 211 139 10.1 -1.1 63 4 10295 6 19
01 07 12 369 250 119 11.8 1.9 63 5 10295 5 10
01 07 13 311 189 122 12.1 3.3 62 6 10294 5 11
01 07 14 231 136 94 11.2 3.6 62 7 10294 4 11
01 07 15 111 50 61 9.6 1.3 65 6 10294 4 12
01 07 16 19 17 3 8 -2.3 70 4 10295 3 19
01 07 17 0 0 0 6.8 -5.6 75 3 10295 3 27
01 07 18 0 0 0 6 -7.7 78 1 10296 3 34
01 07 19 0 0 0 5.4 -9.1 79 1 10298 3 35
01 07 20 0 0 0 5.1 -10.3 81 0 10299 3 35
01 07 21 0 0 0 5.2 -10.6 78 0 10298 3 36
01 07 22 0 0 0 5.6 -10.4 75 0 10296 3 36
01 07 23 0 0 0 5.9 -10.2 71 0 10293 3 36
01 08 0 0 0 0 6 -10.2 69 0 10290 3 36
01 08 1 0 0 0 5.8 -10.5 67 0 10288 4 36
01 08 2 0 0 0 5.4 -11.1 66 0 10285 4 36
01 08 3 0 0 0 4.9 -11.6 64 0 10283 5 36
01 08 4 0 0 0 4.7 -11.9 63 0 10281 5 35
01 08 5 0 0 0 4.8 -11.9 62 0 10279 6 35
